quarter,months,n_models,mean_score,variance,std,ceiling_compression,kendall_tau,score_range_90_10,max_score,min_score
2022Q1,0.0,17,0.2536583761021186,9.225922428713533e-05,0.009605166541353426,0.7968750000000074,,0.022651006711409433,0.2659395973154362,0.2333333333333333
2022Q2,2.9566360052562417,8,0.2548238255033557,0.00012663321150269924,0.01125314229460817,0.869565217391305,,0.02407718120805366,0.2692953020134228,0.2399328859060402
2022Q4,8.968462549277266,8,0.2536703020134228,9.972553922925032e-05,0.009986267532429236,0.6140350877192975,,0.020134228187919573,0.2701342281879195,0.2382550335570469
2023Q1,11.990801576872535,14,0.25599232981783315,0.00013836187460123322,0.011762732446214749,-0.4418604651162916,,0.01610738255033553,0.287751677852349,0.2348993288590604
2023Q2,14.947437582128778,26,0.2537751677852349,0.00012022262510697745,0.01096460784100268,0.5942028985507277,,0.025167785234899348,0.276006711409396,0.2290268456375838
2023Q3,17.936925098554532,36,0.2686894108873974,0.0008042837159487311,0.028359896261247696,-1.1265822784810076,,0.04949664429530204,0.3892617449664429,0.2290268456375838
2023Q4,20.9592641261498,75,0.2862192393736018,0.0006159056730258479,0.0248174469481824,0.5214285714285727,,0.05587248322147653,0.3666107382550335,0.2390939597315436
2024Q1,23.98160315374507,145,0.2854471958651546,0.0006265371354451932,0.025030723829829477,0.3048780487804885,,0.06342281879194633,0.3540268456375839,0.2248322147651006
2024Q2,26.971090670170828,465,0.29509699069062567,0.0010665861573066462,0.03265863067102854,-0.04651162790697749,,0.08070469798657726,0.3976510067114094,0.2332214765100671
2024Q3,29.96057818659658,663,0.29631682306376345,0.0011453010325935076,0.033842296502948906,0.37037037037037057,,0.08204697986577192,0.4119127516778523,0.2281879194630872
2024Q4,32.98291721419185,1116,0.3036747371966033,0.0014895614112468297,0.038594836587901624,0.4682539682539677,,0.09899328859060402,0.4370805369127516,0.2298657718120805
2025Q1,36.00525624178712,1472,0.30345190764517066,0.0018031158758245298,0.04246311194230269,0.11428571428571388,,0.11493288590604028,0.4706375838926174,0.2063758389261745
