quarter,months,n_models,mean_score,variance,std,ceiling_compression,kendall_tau,score_range_90_10,max_score,min_score
2022Q1,0.0,17,0.3028970962053788,9.22966759903358e-05,0.009607115903867081,0.17350781318102615,,0.019603004019131842,0.3191044431037278,0.2765842029929075
2022Q2,2.9566360052562417,8,0.30974678672139094,1.9769223201538215e-05,0.004446259461787876,0.7642492936923293,,0.009606767184744791,0.3165038032087756,0.3025950541549823
2022Q4,8.968462549277266,8,0.39093924694984683,0.005931990658731905,0.07701941741361008,0.7859426216048042,,0.15348937053629846,0.5065888015776924,0.2876313273066933
2023Q1,11.990801576872535,14,0.3286047095192198,0.002693490199466135,0.051898845839441696,-4.875983480072823,,0.029369731745105376,0.5053738049125648,0.2970437484241321
2023Q2,14.947437582128778,26,0.333955588157523,0.0017019378248924555,0.04125454914179109,-1.8900378016048482,,0.10164755967172018,0.4702556052882764,0.2877029244540947
2023Q3,17.936925098554532,36,0.40645159619048693,0.010004540343532367,0.10002269914140673,0.09769234694698203,,0.2432940703881704,0.7266099425567868,0.2787726232894545
2023Q4,20.9592641261498,75,0.44502199853655205,0.005861698908694162,0.07656173266517785,0.8312913880407915,,0.2128273171465126,0.5560872910766164,0.2919800780121471
2024Q1,23.98160315374507,145,0.44484807691116,0.007045824792464007,0.08393941143744103,0.6907194705750521,,0.2163680750501329,0.6373342606775594,0.2884549938995566
2024Q2,26.971090670170828,465,0.4956856007202049,0.00797812030541014,0.08932032414523662,0.20111265390152955,,0.2457766082357496,0.7073179916851792,0.2863444769655102
2024Q3,29.96057818659658,663,0.4952854986995437,0.008895544805932304,0.09431619588348707,-0.05984170156425739,,0.2601513472144144,0.7478466526577329,0.2861834296481826
2024Q4,32.98291721419185,1116,0.49417548180224236,0.012823119331620784,0.11323921287089903,0.6873797292200015,,0.32375364435306353,0.7420334281529087,0.2606595454586609
2025Q1,36.00525624178712,1472,0.48514717623731624,0.016361962034339428,0.12791388522885008,0.8114902778867159,,0.34852048374445144,0.8269136508088061,0.2178209789407808
