quarter,n_models,mean_score,std_score,min_score,max_score
2022Q1,17,0.25365837610211867,0.009605166541353422,0.2333333333333333,0.2659395973154362
2022Q2,8,0.25482382550335564,0.011253142294608168,0.2399328859060402,0.2692953020134228
2022Q3,1,0.2600671140939597,,0.2600671140939597,0.2600671140939597
2022Q4,8,0.2536703020134228,0.009986267532429241,0.2382550335570469,0.2701342281879195
2023Q1,14,0.25599232981783315,0.011762732446214742,0.2348993288590604,0.287751677852349
2023Q2,26,0.2537751677852349,0.01096460784100268,0.2290268456375838,0.276006711409396
2023Q3,36,0.2686894108873974,0.028359896261247703,0.2290268456375838,0.3892617449664429
2023Q4,75,0.2862192393736018,0.024817446948182397,0.2390939597315436,0.3666107382550335
2024Q1,145,0.28544719586515466,0.02503072382982948,0.2248322147651006,0.3540268456375839
2024Q2,465,0.29509699069062567,0.03265863067102854,0.2332214765100671,0.3976510067114094
2024Q3,663,0.29631682306376345,0.033842296502948906,0.2281879194630872,0.4119127516778523
2024Q4,1116,0.3036747371966034,0.03859483658790163,0.2298657718120805,0.4370805369127516
2025Q1,1472,0.30345190764517066,0.042463111942302754,0.2063758389261745,0.4706375838926174
