contam_rate,growth_rate,rep,K_mu_true,G_true,F_true,K_mu_estimated,K_sigma_estimated,F_estimated,G_estimated,delta_D,K_mu_err,G_err
0.0,0.05,0,0.0,0.025367748538011697,0.0,0.0,0.0,0.0007657,0.024602048538011696,0.025367748538011697,0.0,0.0007657000000000011
0.0,0.05,1,0.0,0.000593011695906441,0.0,0.0,0.0,0.0006765245614035088,0.0,0.000593011695906441,0.0,0.000593011695906441
0.0,0.05,2,0.0,0.0006810526315789434,0.0,0.0,0.0,0.0,0.0006810526315789434,0.0006810526315789434,0.0,0.0
0.0,0.15,0,0.0,0.03595964912280702,0.0,0.0,0.0,0.0027060982456140353,0.033253550877192985,0.03595964912280702,0.0,0.002706098245614033
0.0,0.15,1,0.0,0.01533719298245614,0.0,0.0,0.0,0.0005026298245614035,0.014834563157894737,0.01533719298245614,0.0,0.0005026298245614028
0.0,0.15,2,0.0,0.025685380116959065,0.0,0.0,0.0,0.002277114035087719,0.023408266081871347,0.025685380116959065,0.0,0.0022771140350877177
0.0,0.3,0,0.0,0.02762385964912281,0.0,0.0,0.0,0.007576697368421054,0.020047162280701757,0.02762385964912281,0.0,0.007576697368421054
0.0,0.3,1,0.0,0.04024608187134504,0.0,0.0,0.0,0.01035773464912281,0.02988834722222223,0.04024608187134504,0.0,0.010357734649122811
0.0,0.3,2,0.0,0.05594926900584796,0.0,0.0,0.0,0.016166966666666668,0.039782302339181286,0.05594926900584796,0.0,0.01616696666666667
0.1,0.05,0,0.01983333333333337,0.0032360233918128714,0.0,0.01983333333333337,0.005394707602339184,0.0006891627192982455,0.0025468606725146258,0.008630730994152055,0.0,0.0006891627192982456
0.1,0.05,1,0.017833333333333257,0.0,0.0,0.017833333333333257,0.003188391812865503,0.0,0.0,0.0022737719298245723,0.0,0.0
0.1,0.05,2,0.016833333333333256,0.0,0.0,0.016833333333333256,0.002876812865497076,0.0,0.0,-0.0008116959064327529,0.0,0.0
0.1,0.15,0,0.00666666666666671,0.021782309941520472,0.0,0.00666666666666671,0.0008058479532163758,0.003634365789473684,0.018147944152046788,0.022588157894736848,0.0,0.003634365789473685
0.1,0.15,1,0.00566666666666682,0.016330204678362575,0.0,0.00566666666666682,0.0012947368421052634,0.0017257964912280703,0.014604408187134505,0.01762494152046784,0.0,0.0017257964912280703
0.1,0.15,2,0.0071666666666667656,0.036285146198830415,0.0,0.0071666666666667656,0.0010363450292397644,0.003488620614035088,0.03279652558479533,0.03732149122807018,0.0,0.0034886206140350845
0.1,0.3,0,0.0019999999999998908,0.04272833333333333,0.0,0.0019999999999998908,6.409356725146204e-05,0.011693052631578946,0.03103528070175439,0.042792426900584796,0.0,0.011693052631578944
0.1,0.3,1,0.0020000000000000018,0.026682017543859654,0.0,0.0020000000000000018,0.00013684210526315722,0.006675817543859651,0.020006200000000002,0.02681885964912281,0.0,0.006675817543859652
0.1,0.3,2,0.0024999999999996136,0.02557342105263158,0.0,0.0024999999999996136,0.00012178362573099424,0.005623155263157894,0.019950265789473683,0.025695204678362574,0.0,0.005623155263157896
0.3,0.05,0,0.05916666666666659,0.0,0.0,0.05916666666666659,0.010177631578947379,0.0,0.0,0.002506900584795326,0.0,0.0
